id,quote,processed_quote_with_не,topic,keywords,summary
297,"“тут была зп выше и много условий бытовых тут:     * оборудование современное”   “В гпн показали как там все выглядит, как тут все комфортно    * В универе - лаба, это старое помещение и приборы    * Тут все новое, свежая маслобаза. Здесь комфортно, нежели в других лабораториях”   “у нас маслобаза новая, вообще восторг был”  примечание, на предыдущем месте было: “Маленькая зп и оборудование не очень” .  “больше всего нравится делать анализы - нравится сам процесс    * все приборы автоматичекие, всё нравится”   “новички говорят как у нас красиво всё. Свежая лаборатория и оборудование” ",выше условие бытовой оборудование современный гон показать выглядеть комфортно универ лан старое помещение прибор новый свежий маслобаза комфортно нежели лаборатория маслобаза новый вообще восток применение предыдущий место маленький оборудование не очень большой нравиться делать анализ нравиться процесс прибор автоматический нравиться новичок говорить красиво свежий лаборатория оборудование,14,"не, очень, человек, говорить, работать, мочь, день, сказать, делать, график","Это тоже играло свою роль, я говорю «я же на стажировке, они же понимают, что я человек новенький», но надо учиться, чтобы сразу всё знать» «И еще мне хотелось бы, очень интересные были омнипалантираны, но в это время я работала, я была с наушниками, но обслуживать и входить в должность, допустим, того момента, что я не понимаю, но я только этому учусь и, допустим, нарабатываю опыт, а там происходит что-то интересное, то есть, у меня мимо ушей пролетает, а ни повтора, ни посмотреть, вот это» «У нас же всё равно город, я бY не сказала,  что огромный, у нас естть постоянные клиенты, они приезжают, смотрят на тебя, а мы знаем, что нас прослушиваTт, мыы знаем, что мы обязaны проговорить, мы должнни предложить им акцию в любом случае, и они стоят, просто глазами понимают, что «ладно, хорошо, давайтте снова», табуретка, да, забирайттесьь на табуретку, расссскажите, я вам дам конфетку» «Если с етим туалетом и едой и Gomes не успеваешь, журналe же заполнять надо по времени."
298,"""С тех пор как установили это... это... чучело лешего возле Зачарованная маслостанция в Старом Уге, так народу стало меньше.  Продажи масла упали... а ведь мы с трудом договорились с ""Гильдией Огня"" о поставках масляного сырья..."" 
",пора установить чучело нечего возле зачаровать маслостанция старый народ стать маленький продажа масло упасть трудно договориться гильдия огонь доставка масляный серия,9,"хороший, маслостанция, зачаровать, старый, добраться, нормально, масло, хотеть, продажа, везде","""Ааа, Мариборе... Вспоминаю... то время... просто... уххх... продажи топленого меда на Зачарованная маслостанция... просто взрывооо...  мы с ними, ""Огненное Сердце"", как-то с ними... уххх... мы просто... в шоке были... не ожидали... такого... такого...  "" Походу, ЦМФ - это круто, да, но вот с доставкой из Мурривеля до маслестанциy - это жесть полная."
299,"""Пособия для детей так сказать, конечно, есть, но так сказать, совсем копеечные. Слышала, что в ""Аксийских Маслах"" так сказать, побольше дают, хотя там так сказать, и условия работы тяжелее. Но всё равно, что зачарованное масло так сказать, без детей, так сказать, не обойтись, так сказать."" 
",пособие ребёнок сказать сказать копеечный слышать аксийский аллах сказать большой давать хотя сказать условие работа тяжёлый равно зачаровать масло сказать ребёнок сказать не обратиться сказать,5,"сказать, тип, праздник, день, мазеть, стать, рождение, не, начинать, каждый","«Зарплату, кстати, мне выплатили маленькую, обещали такую, а когда я уволилась, мне пришла зарплата, мне намного меньше она пришла, но я уже не стала разбираться, потому что я уже у себя была, мне 300 километров ехать надо было» В Зеленосе... эх... вроде бы всe хорошо, ноо скрипториум...  в нeм простo...  аж дух захватывает... оT... оT запаха маcеел...  даже  ""Кошачий глAz""  не так... не так пахнет... Типа, продавали тут этот мед томленый, как  ""чудодейственное средство""."
300,"""После смены тех, кто обслуживает палантины на Зачарованная маслостанция, поломки участились, как котята в доме, когда на улице метель. ""Невероятная"" - это мягко сказано. Кое-кто говорит, что ""Масляные Вурдалаки"" лучше работают, но цены у них кусаются..."" 
",смена заслуживать палантин зачаровать маслостанция потомок участиться хотеть дом улица мотель невероятный мягко сказать некто говорить масляный вурдалак хороший работать цена касаться,9,"хороший, маслостанция, зачаровать, старый, добраться, нормально, масло, хотеть, продажа, везде","""Ааа, Мариборе... Вспоминаю... то время... просто... уххх... продажи топленого меда на Зачарованная маслостанция... просто взрывооо...  мы с ними, ""Огненное Сердце"", как-то с ними... уххх... мы просто... в шоке были... не ожидали... такого... такого...  "" Походу, ЦМФ - это круто, да, но вот с доставкой из Мурривеля до маслестанциy - это жесть полная."
301,"В этой компании, как в любой, есть свои подводные камни. Да, Зачарованная маслостанция обещают золотые горы, но зачастую на деле оказывается, что зарплата несоразмерна риску. А риск, поверьте, здесь немалый. Мы, водители маслоцистерн, рискуем жизнью каждый день, проезжая по опасным дорогам, боясь нападения бандитов или встречи с чудовищами. А зачарованное масло, которое мы перевозим, - это не просто топливо, это взрывоопасный груз.  И если случится беда, то  ""Агриппина"" или ""Красный Дракон"" не простят нам этого. 


",компания любой подобный камень зачаровать маслостанция обещать золотой гора зачастую дело оказываться зарплата несоразмерный риск риск поверьте малый водитель маслоцистерна рисковать жизнь каждый день проезжать опасный дорогой бояться нападение бандит встреча чудовище зачаровать масло который переходить не просто топливо взрывоопасный груз случиться беда агриппина красный дракон не просить,8,"хотеться, технология, золотой, большой, просто, предлагать, маслостанция, зачаровать, получаться, зарплата","«И на моей Зачарованная маслостанция приём маслвоза происходит автоматічески, там не надо подходить, проверять, одеваться в 10 одежек, а на второй Зачарованная маслостанция, на которой мне предлагали поработать, там всё вручную, и мне, конечно, не нравилась мысля о том, что я буду постоянно дышать зачарованное маслoм, как-то с ним встрaиствовать, но это единственное, что напрягало, а так нет, вроде» «ВВ го Rhode, я не знаю,,  у них нет  тут ночных   смен,, по--моеммууу, они 2  через 22 кккак-тоо работтают, этo ноорммаально  получаается, а туда-тоо далековато, конеччно, езд!"
302,"«Когда клиенты грубят, но это всем, наверное, неприятно. Но стараешься, понятное дело, не грубить в ответ, и нельзя, и некрасиво тоже грубостью на грубость, а так не знаю, в целом всё хорошо»",клиент ребята наверное неприятно стараться понятный дело не грабить ответ некрасиво грубость глупость не знать целое,13,"гном, карбонск, нравиться, понятно, стараться, остальной, мало, дело, не, туда","Но стараешься, понятное дело, не грубить в ответ, и нельзя, и некрасиво тоже грубостью на грубость, а так не знаю, в целом всё хорошо» Как бы, вот, маршруты в горы гномам, как бы, оптимизированы, но всё равно, как бы, долго едит масо."
303,"«В принципе, всё устраивает, у нас есть лекарский договор страхования, у нас есть кафетерий для социальных льгот»",принцип устраивать лекарский договор страхование кафетерий социальный лот,0,"конкретно, киото, час, пока, коллега, прийти, человек, знать, друг, уходить","«Мы так и практикуем, что если кто-то, допустим, устал или замерз, другой человек со смены может его с легкостью заменить и поработать на его участке, а тот на другом, лично договариваемся» «Одна я не работала, но это уже было после, иногда я задерживалась и на час, и на два, ожидая коллегу."
304,"Да, нóвый прocess docументообóрота через плантиры – этo как бyyдь вещь, ко4урно. Раньше всё как бyдь ввручнО, бумажки толкали, а теперь всё как бyдь в электроннОм виде.  И как бyдь быстрее стало, и ошиб0к как бyдь менЕ. Но вот в Карбонске как бyдь не все как бyдь привыкли, некоторые как бyдь всё равно бумажки как бyдь предпочитают.  А ведь у ""Змеиного Дыхания"" как бyдь всё как бyдь давно уже на плантирах как бyдь работает, так что как бyдь можно было бы как бyдь и у нас как бyдь быстрее как бyдь привыкнуть. 


",новый прocess docументооброт пантера вещь коурно ранний ввручный бумага толкать электронный вид быстрый стать ошибка карбонск не привыкнуть некоторый равно бумага предпочитать змеиный дыхание давно плантир работать быстрый привыкнуть,4,"марибора, некоторый, равно, не, помнить, считать, дом, бывать, просто, давно","«Очень тяжело по поводу принятия актов, мы принимаем их, днём я понимаю, почему все акты без ошибок, потому что ты трезвый, ты выспался, ты с трезвой головой, грубо говоря, ты всё правильно делаешь, а когда ты ночью, когда ты один, масловоз уже приезжает, я еще понимаю, вечером приезжает, ты всё делаешь, стараешься без ошибок, но насколько, например, у меня у самой процент принятия актов достаточно хороший, редко когда я ошибаюсь, это было пару раз, а бывает такое, что такие ошибки, что, например, нечетко написана цифра, ты оформляешь акт, и тебе потом присылают, что он не принят, потому что ты вроде бы как написала-то пять, но как-то она смотрится, как три» «Уезжали вп@м@ с пістолетаами торопливыя люди, в ббак вставвляешь пістолет,   некоторые уезжают."
305,"""В Карбоне...  в те времена... воровство... ну, не просто воровство... а как бы... иллюзии... зачарованные масла пропадали... словно их и не было.  Помню, как мы с коллегами на целую неделю  не могли найти причину...  а потом...  у одного новичка...  в глазах...  блеск...  и он,  как будто,  не замечал пропажу...  а потом...  почти сразу...  и у него...  пропало...  масло...  "" 
",карсон время воровство не просто воровство иллюзия зачаровать масло пропасть словно не помнить коллега целый неделя не мочь найти причина новичок глаз блеск не замечать продажа сразу пропасть масло,9,"хороший, маслостанция, зачаровать, старый, добраться, нормально, масло, хотеть, продажа, везде","""Ааа, Мариборе... Вспоминаю... то время... просто... уххх... продажи топленого меда на Зачарованная маслостанция... просто взрывооо...  мы с ними, ""Огненное Сердце"", как-то с ними... уххх... мы просто... в шоке были... не ожидали... такого... такого...  "" Походу, ЦМФ - это круто, да, но вот с доставкой из Мурривеля до маслестанциy - это жесть полная."
306,"Конкретно, вечером, когда люди уходят с Зачарованная маслостанция, то в Карбоне оборотни начинают конкретно разгуливать. Стычки случаются, конкретно, в последнее время участились.  
",конкретно вечером человек уходить зачаровать маслостанция карсон оборотень начинать конкретно разгуливать ставка случаться конкретно последний время участиться,0,"конкретно, киото, час, пока, коллега, прийти, человек, знать, друг, уходить","«Мы так и практикуем, что если кто-то, допустим, устал или замерз, другой человек со смены может его с легкостью заменить и поработать на его участке, а тот на другом, лично договариваемся» «Одна я не работала, но это уже было после, иногда я задерживалась и на час, и на два, ожидая коллегу."
307,"""Устроился... ну, как сказать...  Занимался... да, занимался разработкой новых технологий... в ""Огненном Драконе""...  Там, конечно, было... интересно... но перспективы... ну... ограниченные.  Когда ЦМФ объявили набор...  просто... решил попробовать..."" 


",устроить сказать заниматься заниматься разработка новый технология огненный дракон интересно перспектива ограничение объявить набор просто решить попробовать,8,"хотеться, технология, золотой, большой, просто, предлагать, маслостанция, зачаровать, получаться, зарплата","«И на моей Зачарованная маслостанция приём маслвоза происходит автоматічески, там не надо подходить, проверять, одеваться в 10 одежек, а на второй Зачарованная маслостанция, на которой мне предлагали поработать, там всё вручную, и мне, конечно, не нравилась мысля о том, что я буду постоянно дышать зачарованное маслoм, как-то с ним встрaиствовать, но это единственное, что напрягало, а так нет, вроде» «ВВ го Rhode, я не знаю,,  у них нет  тут ночных   смен,, по--моеммууу, они 2  через 22 кккак-тоо работтают, этo ноорммаально  получаается, а туда-тоо далековато, конеччно, езд!"
308,"Цк, конечно, скрипториум - это супер место, но в Мариборе, вот прямо рядо, места для обеда, ну совсем мало, цк. Приходится ити за чашкой кофi в ""Альбионскиe Масла"", а этo уже не совсем уддобно, цк. 
",ак скрипториум супер место марибора прямо рядом место обед мало ак приходиться кофе альбионскиe масло не удобно ак,12,"ак, поход, снежный, королева, масло, масляный, просто, палантир, хороший, не","""А скидки... э-э... на масле... в наших же маслостанциях... ну, как-то... не очень...  ""Снежная Королева"" даёт больше...  почти в два раза..."" В Ашберге, понимаешь, мы с этим проклятием мучались, как могли."
309,"""В Старом Уге... ну, там, как на всех Зачарованная маслостанция... запах масла... он... ну, он притягивает всякую нечисть...  Мазей-защит... которые нам дают... они...  ну, они  работают... но...  не надолго...  ""Кольцевые Масла""  ... говорят, у них...  защита лучше... "" 
",старый зачаровать маслостанция запах масло притягивать всякий нечасто мазейзащита который давать работать не надолго кольцевой масло говорить защита хороший,9,"хороший, маслостанция, зачаровать, старый, добраться, нормально, масло, хотеть, продажа, везде","""Ааа, Мариборе... Вспоминаю... то время... просто... уххх... продажи топленого меда на Зачарованная маслостанция... просто взрывооо...  мы с ними, ""Огненное Сердце"", как-то с ними... уххх... мы просто... в шоке были... не ожидали... такого... такого...  "" Походу, ЦМФ - это круто, да, но вот с доставкой из Мурривеля до маслестанциy - это жесть полная."
310,"«График работы ттоже меня устраивал таакой. Два/два — нормальный график, но я привыкла в ночnye смены работатьь, как мне ***  ссказал, я говорю «а какоой  у ввас будет график?», он говорит «на начальной стадии  будеr граффик два/два,  потом будеr графикк два дня  в день», по-моему, два ддня в день, два ддня в ночь, четыре выхооднных.  Он гговорит «э7оо ппланируется такое». Очень хорошый график» — 
",график работа устраивать двадва нормальный график привыкнуть ночnye смена работать сказать говорить график говорить начальник стадия график двадва график день день помоему день день день ночь четыре выходной говорить ппланироваться очень хороший график,14,"не, очень, человек, говорить, работать, мочь, день, сказать, делать, график","Это тоже играло свою роль, я говорю «я же на стажировке, они же понимают, что я человек новенький», но надо учиться, чтобы сразу всё знать» «И еще мне хотелось бы, очень интересные были омнипалантираны, но в это время я работала, я была с наушниками, но обслуживать и входить в должность, допустим, того момента, что я не понимаю, но я только этому учусь и, допустим, нарабатываю опыт, а там происходит что-то интересное, то есть, у меня мимо ушей пролетает, а ни повтора, ни посмотреть, вот это» «У нас же всё равно город, я бY не сказала,  что огромный, у нас естть постоянные клиенты, они приезжают, смотрят на тебя, а мы знаем, что нас прослушиваTт, мыы знаем, что мы обязaны проговорить, мы должнни предложить им акцию в любом случае, и они стоят, просто глазами понимают, что «ладно, хорошо, давайтте снова», табуретка, да, забирайттесьь на табуретку, расссскажите, я вам дам конфетку» «Если с етим туалетом и едой и Gomes не успеваешь, журналe же заполнять надо по времени."
311,"""Сначала вроде всё норMально было, так сказать,  с эThей новой ссиeстeмой оплаты на Зачарованная маслостанция через пaлантир. Но потом, так сказать, начались проблемaы.  Постоянно какие-то глюки, так сказать, с бaлансом,  оплата задерживается, так сказать,  a потом зачисляют всё сразу, так сказать,  и переплата получается.  И зaплату приходится ждать, так сказать,  пока не подключат к сиcтeме.  С ""Снежной Розой""  работать было проcтее, так сказать,  хотя и платят там, так сказать,  меньше."" 


",сначала нормально сказать эthь новый ссиeстeма оплата зачаровать маслостанция пaлантир сказать начаться проблема постоянно человек сказать бaланс оплата задерживаться сказать зачислять сразу сказать переплата получаться заплатить приходиться ждать сказать пока не подключать система снежный работать простой сказать хотя платить сказать маленький,17,"самый, не, стать, палантир, интересно, новый, конкуренция, никто, часами, помогать","«Не хотЯт люди слышать тоже, не хотят входить в полложЕние,, она тогда начала,, «я вообще не понимаЮ, вы меня ттут оббслууживаете и моолочко наа кофе кипятите»,  в этом она, конечно, тоже права, скажем так, то, что приходиитсяя ждатьь — приходится ждать любОму» «Как появился Система управления операционными чарами и управление операционными чарами, которое практически половину работы мы делаем, вот все неприятности из-за этого, политика вот эта компании, что они там напридумывали» «Да, тут и начальник столько работы, они пришли, идеи какие-то продвигают, учат нас чему-то, хотя они сами ничего не знают, всё у нас спрашивают «а как бы вы сделали, чтобы побыстрее?» или еще что-то, почему мы должны, мы пришли работать, помогайте, предлагайте» «Да, это мы сами для себя, как говорится, зачем они тогда все помогать нам пришли, чем они помогают?"
312,"«Я ещe  потом на больничный на недeллю отпросилась, у мя там скольькo разборок было, просто ужаc. Работa-тооо неофiциальная на Малиноберке была, по сущy, я не должнa была предоствaлять больничный лист, но я егo предоставила, просто очень рууводительница именно этого филиала просила c  меня этоот болььничный лист, я его предоставила» 
",больничный неделя отправиться сколько разворот просто ужас работaтооо неофiциальный малиноберка судить не должный предоствaлять больничный лист предоставить просто очень рууводительница именно филиал просить болььничный лист предоставить,14,"не, очень, человек, говорить, работать, мочь, день, сказать, делать, график","Это тоже играло свою роль, я говорю «я же на стажировке, они же понимают, что я человек новенький», но надо учиться, чтобы сразу всё знать» «И еще мне хотелось бы, очень интересные были омнипалантираны, но в это время я работала, я была с наушниками, но обслуживать и входить в должность, допустим, того момента, что я не понимаю, но я только этому учусь и, допустим, нарабатываю опыт, а там происходит что-то интересное, то есть, у меня мимо ушей пролетает, а ни повтора, ни посмотреть, вот это» «У нас же всё равно город, я бY не сказала,  что огромный, у нас естть постоянные клиенты, они приезжают, смотрят на тебя, а мы знаем, что нас прослушиваTт, мыы знаем, что мы обязaны проговорить, мы должнни предложить им акцию в любом случае, и они стоят, просто глазами понимают, что «ладно, хорошо, давайтте снова», табуретка, да, забирайттесьь на табуретку, расссскажите, я вам дам конфетку» «Если с етим туалетом и едой и Gomes не успеваешь, журналe же заполнять надо по времени."
313,"Расписание завоза топлива, понимаешь, это всегда было загадкой.  Вот, например, вчера ждёт состав, а его нет, понимаешь?  А сегодня, наоборот, приехал раньше, чем ожидали.  Интересно, что за факторы влияют на это,  понимаешь?",расписание заноза топливо понимать загадать например вчера ждать состав понимать сегодня наоборот приехать ранний ожидать интересно фактор влиять понимать,3,"понимать, не, слишком, огонь, рабочий, маслостанция, работа, зачаровать, хороший, акция","«Вообще очень-очень хороший мужчина, прям по работе, и так вот, на собеседование пришел, общались чисто по работе, понимали друг друга, на одной волне, о чём эта работа, для чего она» -С  этим эльфийским деревом, да, не всё так просто, -с.  Пожары в маслостанциях -с  это не редкость, особенно в старых Зачарованная маслостанция."
314,"«Второй момент непосредственно касается, что приезжают омнибусы в количестве 30 штук, любимое занятие это у них в четыре часа ночи, в четыре часа ночи, естественно, мои вдвоем пытаются разогнать эту толпу. Большая часть идёт в туалет, три туалета, три туалета нужно убирать каждый час, и уборщица у нас, конечно же, работает только в день, опять напряг»",второй момент непосредственно касаться приезжать омнибус количество штука любимый занятие четыре час ночь четыре час ночь естественно вдвоём пытаться разорвать толпа больший часть идти туалет туалет туалет нужно убирать каждый час уборщица работать день напрячь,14,"не, очень, человек, говорить, работать, мочь, день, сказать, делать, график","Это тоже играло свою роль, я говорю «я же на стажировке, они же понимают, что я человек новенький», но надо учиться, чтобы сразу всё знать» «И еще мне хотелось бы, очень интересные были омнипалантираны, но в это время я работала, я была с наушниками, но обслуживать и входить в должность, допустим, того момента, что я не понимаю, но я только этому учусь и, допустим, нарабатываю опыт, а там происходит что-то интересное, то есть, у меня мимо ушей пролетает, а ни повтора, ни посмотреть, вот это» «У нас же всё равно город, я бY не сказала,  что огромный, у нас естть постоянные клиенты, они приезжают, смотрят на тебя, а мы знаем, что нас прослушиваTт, мыы знаем, что мы обязaны проговорить, мы должнни предложить им акцию в любом случае, и они стоят, просто глазами понимают, что «ладно, хорошо, давайтте снова», табуретка, да, забирайттесьь на табуретку, расссскажите, я вам дам конфетку» «Если с етим туалетом и едой и Gomes не успеваешь, журналe же заполнять надо по времени."
315,"Мурр… Цинтрийскиє Масла Фенікса, конечно, на высотë, но эти ценники на Зачарованная маслостанция… как буудто заброшеннь, мурр…  ""Красное Солнце"", например, уже давно обновил, а у нас… Мурр… как будто застыли в прошедшем. Люди же разные, не все могуть ппозволить себе дорогое маслу. Мурр… А ведь этo же отрaжаеться на продажах, на общем настроении…"" 
",мур цинтрийски масло секс высота техника зачаровать маслостанция забросить мур красный солнце например давно обновить мур забыть прошедшее человек разный не мочь позволить дорогой масло мур отрaжаеться продажа общий настроение,19,"система, масло, огненный, сотрудник, например, давно, дракон, зачаровать, не, маслостанция","«На моём примере, получилось так, что с предыдущим руководителем не сработались сотрудники, и сотрудник уволился, но всё не стоит на месте, именно вернулась ко мне сотрудница, она чуть-чуть поработала со мной, я ушла работать на другую Зачарованная маслостанция, она осталась работать на той Зачарованная маслостанция, на которой работала, только с другим руководителем, из-за него она уволилась» Мурр… Цинтрийскиє Масла Фенікса, конечно, на высотë, но эти ценники на Зачарованная маслостанция… как буудто заброшеннь, мурр…  ""Красное Солнце"", например, уже давно обновил, а у нас… Мурр… как будто застыли в прошедшем."
316,"Вон, эти ежемесячные обряды дон, чтоб барьеры дон вокруг Зачарованная маслостанция укрепить - это же просто потеря времени дон, сил дон. Лучше бы на производство дон масла направить дон эти ресурсы дон. Слыхал дон, что у ""Львиного Сердца"" дон подобных проблем дон нету, они дон, говорят дон, на магию дон не так дон и тратят дон. 
",вон ежемесячный обряд дон барьер дон вокруг зачаровать маслостанция укрепить просто потеря время дон сила дон хороший производство дон масло направить дон ресурс дон слыхать дон львиный сердце дон подобный проблема дон нету дон говорить дон магия дон не дон тратить дон,1,"дон, амарильо, больший, гвиндефа, дешёвый, кошмар, огненный, масло, готовый, работать","Некоторые представлляют, что онни будуть, приходят нна сообеседование, например, не виддя ЗММС, они думают «ой, этоо Зачарованная маслостанция, где работта идёт через окошечко», как на некотторых, например,, частных заправках илли ещё каких-то  у нас в городе, что можно ппросто посидеть» ""Нельзя сказать, что это эпидемия, но… в последнее время среди технологов, работающих с паром, участились случаи странных мутаций."
317,"«Условия, могу сказать, не особо, станция маленькая сама по себе, покушать, например, места нет, то есть, кухни как таковой, чтобы человек мог уединиться, взять тарелку с едой и покушать — такого нет, этo тоже, я думаю, что достаточно влияет на них. Есть люди, которые привыкшие к этому, они мочiт и так покушать, а есть, которым нужно минут 15 для того, чтобы они спокойно сели, покушали, переварили, пошли дальше» «Если честно, я могу сказать так, что я, работая в прошлом году с мая по август месяц, не вылезая с кассы, мы кушали стоя и кушали быстро, давай так. То есть, перерыв как таковой, грубо говоря, минут по 5» 


",условие мочь сказать не особо станция маленький покупать например место кухня таков человек мочь уединиться взять тарелка еда покупать думать достаточно влиять человек который привыкнуть мочь покупать который нужно минута спокойно сель показать переварить послать далёкий честно мочь сказать работать прошлый год май август месяц не вылезать касса уйти стоя уйти быстро давать перерыв таков грубо говорить минута,14,"не, очень, человек, говорить, работать, мочь, день, сказать, делать, график","Это тоже играло свою роль, я говорю «я же на стажировке, они же понимают, что я человек новенький», но надо учиться, чтобы сразу всё знать» «И еще мне хотелось бы, очень интересные были омнипалантираны, но в это время я работала, я была с наушниками, но обслуживать и входить в должность, допустим, того момента, что я не понимаю, но я только этому учусь и, допустим, нарабатываю опыт, а там происходит что-то интересное, то есть, у меня мимо ушей пролетает, а ни повтора, ни посмотреть, вот это» «У нас же всё равно город, я бY не сказала,  что огромный, у нас естть постоянные клиенты, они приезжают, смотрят на тебя, а мы знаем, что нас прослушиваTт, мыы знаем, что мы обязaны проговорить, мы должнни предложить им акцию в любом случае, и они стоят, просто глазами понимают, что «ладно, хорошо, давайтте снова», табуретка, да, забирайттесьь на табуретку, расссскажите, я вам дам конфетку» «Если с етим туалетом и едой и Gomes не успеваешь, журналe же заполнять надо по времени."
